# === PPO_STATS_BEGIN ===
total_completed=2556
best_reward=229.534518
best_reward_ts=2026-01-02 22:26:08
best_reward_run=2026-01-02 22:06:26
best_reward_ep=(29/10000)
best_survival=300.503
best_survival_ts=2026-01-08 16:20:00
best_survival_run=2026-01-08 15:10:41
best_survival_ep=(114/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-30 20:49:12  episodes=10000 eval=False
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(15/10000)	48.936367	41.453	
(16/10000)	33.769868	26.646	
(17/10000)	23.102770	19.977	
(18/10000)	28.600000	20.968	
(19/10000)	65.417467	41.225	
(20/10000)	27.884287	22.858	
(21/10000)	23.815435	20.937	
(22/10000)	41.566110	32.805	
(23/10000)	42.801434	30.812	
(24/10000)	29.935825	24.199	
(25/10000)	28.851844	23.759	
(26/10000)	27.160609	20.944	
(27/10000)	23.854920	19.602	
(28/10000)	41.600000	27.885	
(29/10000)	51.769603	33.154	
(30/10000)	27.723493	22.879	
(31/10000)	28.591343	23.830	
(32/10000)	29.227805	22.139	
(33/10000)	34.732470	25.279	
(34/10000)	26.355518	22.957	
(35/10000)	35.400000	23.582	
(36/10000)	17.112587	17.600	
(37/10000)	32.618024	24.811	
(38/10000)	25.278548	21.232	
(39/10000)	30.306611	24.080	
(40/10000)	16.766235	17.573	
(41/10000)	36.495866	25.958	
(42/10000)	29.540128	23.517	
(43/10000)	45.460065	30.248	
(44/10000)	33.112345	25.175	
(45/10000)	30.169142	22.453	
(46/10000)	30.138177	22.783	
(47/10000)	25.481628	23.203	
(48/10000)	32.108845	23.675	
(49/10000)	31.051079	24.127	
(50/10000)	26.492178	21.098	
(51/10000)	40.762157	27.673	
(52/10000)	52.100000	33.794	
(53/10000)	43.667216	31.192	
(54/10000)	31.668740	25.149	
(55/10000)	46.317440	32.729	
(56/10000)	32.800000	24.139	
(57/10000)	65.351983	42.042	
(58/10000)	46.898887	33.702	
(59/10000)	50.325476	33.370	
(60/10000)	26.000000	20.259	
(61/10000)	26.935602	21.013	
(62/10000)	44.224649	30.711	
(63/10000)	52.115407	35.008	
(64/10000)	32.527432	25.774	
(65/10000)	35.310299	25.456	
(66/10000)	43.698038	30.394	
(67/10000)	40.948225	28.612	
(68/10000)	30.575087	24.085	
(69/10000)	47.000000	30.637	
(70/10000)	22.928546	20.685	
(71/10000)	21.310411	18.906	
(72/10000)	29.016841	22.982	
(73/10000)	27.056103	28.980	
(74/10000)	18.655825	21.058	
(75/10000)	23.735463	21.198	
(76/10000)	23.729937	20.372	
(77/10000)	27.500000	21.493	
