# === PPO_STATS_BEGIN ===
total_completed=704
best_reward=127.243046
best_reward_ts=2025-12-23 17:12:27
best_reward_run=2025-12-23 16:07:56
best_reward_ep=(116/10000)
best_survival=45.298
best_survival_ts=2025-12-24 14:02:57
best_survival_run=2025-12-24 12:51:09
best_survival_ep=(133/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-23 15:21:32  episodes=1
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(8/10000)	66.400000	26.467	
(9/10000)	47.295248	22.109	
(10/10000)	58.500000	22.704	
(11/10000)	64.100000	25.682	
(12/10000)	47.100000	19.991	
(13/10000)	52.689549	21.586	
(14/10000)	75.661131	30.139	
(15/10000)	76.951525	31.180	
(16/10000)	65.400000	24.996	
(17/10000)	53.948141	23.209	
(18/10000)	63.293378	24.947	
(19/10000)	64.429294	27.064	
(20/10000)	65.962408	26.770	
(21/10000)	46.857323	22.896	
(22/10000)	48.544534	20.340	
(23/10000)	62.884160	24.732	
(24/10000)	52.154866	20.558	
(25/10000)	55.000000	22.633	
(26/10000)	51.200000	21.093	
(27/10000)	36.726729	16.684	
(28/10000)	43.135812	18.824	
(29/10000)	45.398351	18.847	
(30/10000)	53.728793	24.208	
(31/10000)	44.363922	19.097	
(32/10000)	49.254031	20.413	
(33/10000)	49.393598	22.449	
(34/10000)	53.712873	24.440	
(35/10000)	76.158815	30.915	
(36/10000)	61.986278	24.784	

========
[RUN] 2025-12-23 22:21:06  episodes=1 eval=True
[STATS] total_completed=278 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/1)	45.000000	19.377	EVAL

========
[RUN] 2025-12-23 22:46:12  episodes=1 eval=False
[STATS] total_completed=278 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/1)	57.247260	25.772	

========
[RUN] 2025-12-23 22:48:29  episodes=10000 eval=False
[STATS] total_completed=279 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/10000)	46.596945	20.303	
(2/10000)	36.620267	16.977	
(3/10000)	61.639299	25.297	
(4/10000)	60.513091	24.107	
(5/10000)	69.099449	27.528	
(6/10000)	53.364113	23.887	
(7/10000)	51.374418	20.313	
(8/10000)	69.275525	26.473	
(9/10000)	46.053661	19.080	
(10/10000)	92.875638	35.741	
(11/10000)	100.175860	40.281	
(12/10000)	62.000000	24.843	
(13/10000)	54.549846	24.001	
(14/10000)	50.993595	21.510	
(15/10000)	55.566348	23.178	
(16/10000)	49.006415	19.971	
(17/10000)	50.359459	19.699	
(18/10000)	57.191843	22.833	
(19/10000)	81.852372	32.715	
(20/10000)	55.741068	22.465	
(21/10000)	49.453714	20.980	
(22/10000)	53.805026	22.785	
(23/10000)	60.800000	23.149	
(24/10000)	104.881549	40.765	
(25/10000)	80.683861	30.554	
(26/10000)	64.800000	25.988	
(27/10000)	70.200000	26.696	
(28/10000)	70.157831	27.979	
(29/10000)	52.300000	21.524	
(30/10000)	79.589334	30.919	
(31/10000)	59.398392	24.132	
(32/10000)	71.897970	27.390	
(33/10000)	47.647471	20.886	
(34/10000)	83.850428	32.296	
(35/10000)	57.900000	23.437	
(36/10000)	103.292036	41.636	
(37/10000)	53.079584	22.796	
(38/10000)	57.300000	23.262	
(39/10000)	99.634287	40.254	
(40/10000)	66.482575	26.742	
(41/10000)	66.299735	26.236	
(42/10000)	79.800234	30.230	
(43/10000)	55.942709	23.384	
(44/10000)	61.368339	26.040	
(45/10000)	71.785400	28.330	
(46/10000)	58.439031	23.683	
(47/10000)	52.069188	20.803	
(48/10000)	45.567796	18.984	
(49/10000)	63.708912	26.108	
(50/10000)	59.599825	24.108	
(51/10000)	60.246472	23.842	
(52/10000)	57.885556	23.579	
(53/10000)	55.967245	21.896	
(54/10000)	44.774045	18.877	
(55/10000)	58.186778	23.617	
(56/10000)	57.354720	23.283	
(57/10000)	46.628539	20.514	
(58/10000)	68.403988	27.039	
(59/10000)	42.231994	18.305	
(60/10000)	59.699148	22.970	
(61/10000)	49.975275	21.435	
(62/10000)	54.636467	22.092	
(63/10000)	46.477315	20.595	
(64/10000)	47.898651	19.296	
(65/10000)	51.483885	20.460	
(66/10000)	49.450741	20.047	
(67/10000)	63.542031	24.395	
(68/10000)	42.430846	18.749	
(69/10000)	60.986576	25.204	
(70/10000)	54.092065	22.346	
(71/10000)	53.076891	21.939	
(72/10000)	51.675981	21.017	
(73/10000)	41.998077	17.809	
(74/10000)	55.688510	22.667	
(75/10000)	46.264276	20.457	
(76/10000)	52.990539	21.475	
(77/10000)	49.996111	20.496	
(78/10000)	67.999380	26.881	
(79/10000)	104.530676	42.638	
(80/10000)	61.595617	23.670	
(81/10000)	47.399468	19.685	
(82/10000)	62.381197	23.998	
(83/10000)	48.300000	19.260	
(84/10000)	64.883107	24.688	
(85/10000)	60.895008	24.148	
(86/10000)	46.298530	18.463	
(87/10000)	46.879150	19.611	
(88/10000)	45.990092	18.169	
(89/10000)	53.344415	22.134	
(90/10000)	62.000000	24.987	
(91/10000)	63.854153	26.302	
(92/10000)	57.799735	23.267	
(93/10000)	47.700000	18.991	
(94/10000)	76.546236	29.610	
(95/10000)	64.795766	25.541	
(96/10000)	46.135150	19.917	
(97/10000)	60.015459	23.906	
(98/10000)	62.081087	24.043	
(99/10000)	54.587452	21.994	
(100/10000)	55.960849	23.653	
(101/10000)	101.193776	37.669	
(102/10000)	105.507230	44.072	
(103/10000)	81.910526	34.530	
(104/10000)	89.701729	34.732	
(105/10000)	57.526193	23.900	
(106/10000)	63.294737	24.799	
(107/10000)	47.142599	20.539	
(108/10000)	71.239425	28.236	
(109/10000)	70.187505	28.410	
(110/10000)	82.198859	30.936	
(111/10000)	57.125953	22.601	
(112/10000)	58.054515	24.195	
(113/10000)	65.341037	25.146	
(114/10000)	58.400000	23.599	
(115/10000)	58.799699	24.284	
(116/10000)	60.657709	25.237	
(117/10000)	51.686338	20.251	
(118/10000)	59.397042	23.916	
(119/10000)	48.189160	20.288	
(120/10000)	51.287563	20.308	
(121/10000)	49.601460	20.353	
(122/10000)	77.800000	29.578	
(123/10000)	57.970641	24.565	
(124/10000)	67.999537	25.776	
(125/10000)	61.486209	25.613	
(126/10000)	18.800000	6.421	ABORTED

========
[RUN] 2025-12-24 12:51:09  episodes=10000 eval=False
[STATS] total_completed=404 | best_reward=127.243 | best_survival=44.07s
idx	reward	survival_sec	note
(1/10000)	49.797384	22.342	
(2/10000)	65.486798	24.852	
(3/10000)	76.270152	29.176	
(4/10000)	58.476859	23.679	
(5/10000)	65.586031	24.899	
(6/10000)	64.296908	24.948	
(7/10000)	42.699257	17.805	
(8/10000)	63.495956	24.018	
(9/10000)	57.834488	22.732	
(10/10000)	49.054077	20.028	
(11/10000)	63.216381	25.674	
(12/10000)	77.099009	29.052	
(13/10000)	44.951612	17.666	
(14/10000)	45.668941	18.717	
(15/10000)	55.227272	22.084	
(16/10000)	62.900000	23.780	
(17/10000)	78.796337	29.793	
(18/10000)	59.595045	24.078	
(19/10000)	54.353093	22.269	
(20/10000)	81.994403	32.231	
(21/10000)	63.812423	24.929	
(22/10000)	70.526560	26.517	
(23/10000)	64.799789	24.584	
(24/10000)	70.100000	27.475	
(25/10000)	65.905890	26.680	
(26/10000)	46.489467	20.881	
(27/10000)	46.264318	19.535	
(28/10000)	64.993495	24.802	
(29/10000)	54.980839	21.230	
(30/10000)	48.516398	20.200	
(31/10000)	59.699972	22.887	
(32/10000)	55.853577	23.708	
(33/10000)	56.724937	23.856	
(34/10000)	57.690035	23.657	
(35/10000)	62.283316	24.499	
(36/10000)	39.606681	18.806	
(37/10000)	46.591078	18.919	
(38/10000)	45.749036	19.026	
(39/10000)	58.664554	24.250	
(40/10000)	60.649512	25.248	
(41/10000)	100.789333	37.752	
(42/10000)	45.521318	17.980	
(43/10000)	62.398858	24.993	
(44/10000)	39.998948	16.088	
(45/10000)	64.195559	25.638	
(46/10000)	47.250752	18.961	
(47/10000)	64.599251	25.017	
(48/10000)	73.755522	30.488	
(49/10000)	41.787111	18.508	
(50/10000)	51.297342	21.304	
(51/10000)	56.399763	22.013	
(52/10000)	45.429485	18.999	
(53/10000)	48.266351	19.748	
